Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
Ryan Weber,ATL,2016,4.963074208,-0.230790175,4.062964804,-0.296545997,3.887822693,0.05511811,0.37795276,5.78,89.39933531,Ryan Weber,10160,543901
Christian Bergman,COL,2016,5.781695993,-0.233585808,4.455858976,-1.267123934,4.028866964,0.0989011,0.46153846,7.22,91.53370702,Christian Bergman,10925,548357
Shawn Tolleson,TEX,2016,5.238304015,-0.237671494,3.888711702,-1.594790101,3.771327528,0.0620155,0.40310078,4.68,89.57300381,Shawn Tolleson,10481,474521
Jerome Williams,STL,2016,6.608099098,-0.238755926,5.914315466,-0.024072027,5.334258379,0.04615385,0.24615385,5.28,84.72784424,Jerome Williams,1137,425532
Chad Girodo,TOR,2016,6.82398019,-0.23926276,3.855722122,-0.226576015,3.106228463,0.08333333,0.41666667,7.22,90.64344618,Chad Girodo,15542,643325
Keyvius Sampson,CIN,2016,6.197407199,-0.240122885,5.340120193,-0.256422043,4.756134976,0.08547009,0.31623932,5.07,88.27734375,Keyvius Sampson,10039,572102
Jeff Hoffman,COL,2016,6.274219323,-0.245674926,4.964688389,-0.692960028,5.219015903,0.07407407,0.36111111,6.17,89.63687009,Jeff Hoffman,17432,656546
Cory Luebke,PIT,2016,8.223484391,-0.249920711,7.145331209,-0.454160005,6.39778958,0.03125,0.1875,5.86,84.90310059,Cory Luebke,1984,458537
T.J. McFarland,BAL,2016,5.619533993,-0.258027852,5.388939945,-0.774149954,5.03195821,0.05376344,0.38709677,5.49,87.27811183,T.J. McFarland,3237,519008
Henry Owens,BOS,2016,7.055651292,-0.258721083,6.296670458,-0.407148004,6.178583602,0.08196721,0.31147541,5.9,88.75546213,Henry Owens,13143,596064
Robert Stephenson,CIN,2016,6.497911734,-0.266782045,5.496528919,-0.892727911,5.120184525,0.06896552,0.38793103,5.56,89.83581122,Robert Stephenson,13594,596112
Drew Hayes,CIN,2016,7.387941227,-0.275762707,5.421100064,-0.554970026,4.94339535,0.05882353,0.47058824,5.31,88.73954634,Drew Hayes,10528,502457
Jake Esch,MIA,2016,7.22348346,-0.2794815,4.632837938,-0.444317997,4.794390727,0.0952381,0.52380952,8.33,91.93159412,Jake Esch,12756,605222
Dayan Díaz,CIN,2016,9.29655921,-0.279764682,7.645120533,-0.15906401,7.1383176,0.07692308,0.30769231,5.42,87.89992188,Dayan Diaz,11543,500765
Jason Motte,COL,2016,5.681772332,-0.281406611,4.426944741,-0.038783964,3.733625386,0.12,0.42666667,6.33,90.53325591,Jason Motte,5861,435400
José A. Váldez,LAA,2016,5.546561102,-0.285801291,5.102561769,-0.227792054,4.950092432,0.06451613,0.43548387,5.42,90.81437437,Jose A. Valdez,14470,572308
James Russell,PHI,2016,10.76194723,-0.286466926,8.221271115,-0.314141989,6.424825059,0.05555556,0.22222222,8.28,89.94869232,James Russell,4089,460701
Michael Roth,TEX,2016,12.96473305,-0.289319634,5.508159608,-0.169180006,4.335341063,0.11111111,0.38888889,7.74,89.80966526,Michael Roth,13736,607706
Arquimedes Caminero,- - -,2016,4.877329632,-0.291142032,5.326631609,-1.128911987,4.793190076,0.05729167,0.33333333,5.14,87.30235258,Arquimedes Caminero,8992,491708
Trevor Williams,PIT,2016,6.699191338,-0.291649505,4.303360946,-0.658122037,4.282860258,0.06666667,0.28888889,6.61,85.76780773,Trevor Williams,16977,592866
Sean Gilmartin,NYM,2016,6.203164937,-0.292020187,5.05107488,-0.388157992,4.671229919,0.05,0.25,3.43,84.86900045,Sean Gilmartin,12781,543219
Josh A. Smith,CIN,2016,5.291812008,-0.294599682,4.988796155,0.100342002,4.559878284,0.06486486,0.2972973,3.66,86.05729742,Josh A. Smith,10946,595001
