Name,AAV,catcher,year,Age,stayed_same_team,G,PA,HR,R,RBI,AVG,OBP,SLG,GDP,H,OPS,PlayerId,G_2,PA_2,HR_2,R_2,RBI_2,AVG_2,OBP_2,SLG_2,GDP_2,H_2,OPS_2,SB_success,SB_success_2
Eric Hosmer,21.2995717,FALSE,2018,28,FALSE,162,671,25,98,94,0.31840796,0.384500745,0.497512437,20,192,0.882013182,3516,158,667,25,80,104,0.266115702,0.328335832,0.433057851,18,161,0.761393683,85.71428571,62.5
Marcell Ozuna,21.37733419,FALSE,2020,29,FALSE,130,549,29,80,89,0.241237113,0.327868852,0.472164948,21,117,0.8000338,10324,148,628,23,69,88,0.280068728,0.325358851,0.43298969,10,163,0.758348541,85.71428571,100
Matt Chapman,18,FALSE,2024,31,FALSE,140,581,17,66,54,0.239685658,0.330464716,0.424361493,4,122,0.754826209,16505,155,621,27,83,76,0.228624535,0.323671497,0.433085501,7,123,0.756756998,66.66666667,50
Cody Bellinger,17.39906576,FALSE,2023,27,FALSE,144,550,19,70,68,0.21031746,0.265454545,0.388888888,7,106,0.654343433,15998,95,350,10,39,36,0.165079365,0.24,0.301587301,2,52,0.541587301,82.35294118,75
Willson Contreras,17.39906576,TRUE,2023,31,FALSE,113,487,22,65,55,0.242788461,0.349075975,0.466346153,14,101,0.815422128,11609,128,483,21,61,57,0.237288135,0.339544513,0.438256658,11,98,0.777801171,66.66666667,55.55555556
Rhys Hoskins,17,FALSE,2024,31,FALSE,0,0,0,0,0,0,0,0,0,0,0,16472,156,672,30,81,79,0.246,0.332,0.462,12,145,0.794,0,66.66666667
Andrew McCutchen,19.81222125,FALSE,2019,32,FALSE,155,682,20,83,65,0.25483304,0.36803519,0.423550087,12,145,0.791585277,9847,156,650,28,94,88,0.278947368,0.363076923,0.485964912,10,159,0.849041835,60.86956522,68.75
Jose Abreu,19.79382795,FALSE,2020,33,TRUE,159,693,33,85,123,0.283911671,0.33044733,0.503154574,24,180,0.833601904,15676,128,553,22,68,78,0.264529058,0.325497287,0.472945891,14,132,0.798443178,50,100
Josh Bell,16.40483343,FALSE,2023,30,FALSE,156,647,17,78,71,0.266304347,0.361801242,0.422101449,22,147,0.783902691,13145,144,568,27,75,88,0.261044176,0.346830985,0.475903614,22,130,0.822734599,0,0
Anthony Rizzo,17.55412013,FALSE,2022,32,TRUE,141,576,22,73,61,0.24798387,0.34375,0.439516129,15,123,0.783266129,3473,146,613,27,89,94,0.29296875,0.404567699,0.51953125,15,150,0.924098949,75,71.42857143
Carlos Beltran,18.73763382,FALSE,2017,40,FALSE,151,593,29,73,93,0.295289855,0.337268128,0.512681159,19,163,0.849949287,589,133,531,19,57,67,0.276150627,0.337099811,0.470711297,12,132,0.807811108,100,0
Justin Turner,18.73763382,FALSE,2017,32,TRUE,151,622,27,79,90,0.275179856,0.339228295,0.492805755,16,153,0.83203405,5235,126,439,16,55,60,0.293506493,0.369863013,0.49090909,10,113,0.860772103,80,71.42857143
Lorenzo Cain,18.93295262,FALSE,2018,32,FALSE,155,645,15,86,49,0.299657534,0.362790697,0.440068493,20,175,0.80285919,9077,103,434,9,56,56,0.287153652,0.338709677,0.408060453,15,114,0.74677013,92.85714286,73.68421053
Michael Brantley,19.0197324,FALSE,2019,32,FALSE,143,631,17,89,76,0.308771929,0.364069952,0.468421052,15,176,0.832491004,4106,90,375,9,47,52,0.298816568,0.357333333,0.443786982,8,101,0.801120315,80,91.66666667
Mike Moustakas,19.00207483,FALSE,2020,31,FALSE,143,584,35,80,87,0.254302103,0.328767123,0.51625239,12,133,0.845019513,4892,152,635,28,66,95,0.2513089,0.314960629,0.458987783,13,144,0.773948412,100,80
