Name,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
"Sandy Leon",2022,CLE,MIA,33,-1.6,10,500,0,84,220,4,15,14,0,0.054545454,0.295454545,0.183168316,0.237442922,0.267326732,2,0,37,0.504769654,5273,506702,65,191,5,14,19,0,0.068062827,0.246073298,0.191860465,0.251336898,0.296511627,0,0,33,0.547848525,65,191,5,14,19,0,0.068062827,0.246073298,0.191860465,0.251336898,0.296511627,0,0,33,0.547848525
"Kris Bryant",2022,COL,SFG,30,8.3,7,884,0,144,586,25,86,73,10,0.105802047,0.230375426,0.265107212,0.35324232,0.481481481,9,2,136,0.834723801,15429,592178,147,634,31,108,77,4,0.116719242,0.228706624,0.281767955,0.38170347,0.521178637,10,0,153,0.902882107,147,634,31,108,77,4,0.116719242,0.228706624,0.281767955,0.38170347,0.521178637,10,0,153,0.902882107
"Scott Schebler",2022,COL,LAA,31,-1.1,7,394,0,14,34,0,3,0,0,0,0.5,0.147058823,0.147058823,0.235294117,0,0,5,0.38235294,12225,594988,30,95,2,11,7,0,0.147368421,0.284210526,0.12345679,0.252631578,0.222222222,3,1,10,0.4748538,30,95,2,11,7,0,0.147368421,0.284210526,0.12345679,0.252631578,0.222222222,3,1,10,0.4748538
"Javier Baez",2022,DET,NYM,29,11.9,8,862,0,138,547,31,80,87,18,0.051188299,0.336380255,0.264940239,0.318681318,0.494023904,12,5,133,0.812705222,12979,595879,138,561,29,89,85,11,0.049910873,0.278074866,0.280602636,0.315508021,0.531073446,16,7,149,0.846581467,138,561,29,89,85,11,0.049910873,0.278074866,0.280602636,0.315508021,0.531073446,16,7,149,0.846581467
"Niko Goodrum",2022,HOU,DET,30,1.5,5,387,0,90,325,9,39,33,14,0.089230769,0.329230769,0.213793103,0.292307692,0.358620689,6,5,62,0.650928381,12092,592348,112,472,12,61,45,12,0.097457627,0.292372881,0.24822695,0.322033898,0.420803782,7,3,105,0.74283768,112,472,12,61,45,12,0.097457627,0.292372881,0.24822695,0.322033898,0.420803782,7,3,105,0.74283768
"Matt Duffy",2022,LAA,CHC,31,1.8,6,549,0,97,322,5,45,30,8,0.077639751,0.195652173,0.287197231,0.357142857,0.380622837,16,1,83,0.737765694,13836,622110,46,169,1,12,12,0,0.112426035,0.171597633,0.25170068,0.343195266,0.326530612,4,1,37,0.669725878,46,169,1,12,12,0,0.112426035,0.171597633,0.25170068,0.343195266,0.326530612,4,1,37,0.669725878
"Kurt Suzuki",2022,LAA,LAA,38,0.3,15,1584,1,72,247,6,17,16,0,0.048582995,0.178137651,0.223744292,0.293877551,0.342465753,7,0,49,0.636343304,8259,435559,85,309,17,37,63,0,0.064724919,0.116504854,0.264285714,0.323624595,0.485714285,10,1,74,0.80933888,85,309,17,37,63,0,0.064724919,0.116504854,0.264285714,0.323624595,0.485714285,10,1,74,0.80933888
"Kean Wong",2022,LAA,LAA,27,-0.6,2,39,1,32,66,0,3,6,0,0.03030303,0.257575757,0.166666666,0.193548387,0.233333333,0,1,10,0.42688172,15994,642221,7,18,0,2,0,0,0,0.333333333,0.166666666,0.166666666,0.166666666,0,1,3,0.333333332,7,18,0,2,0,0,0,0.333333333,0.166666666,0.166666666,0.166666666,0,1,3,0.333333332
"Austin Romine",2022,LAA,CHC,33,0.2,10,433,0,28,62,1,5,5,0,0.032258064,0.354838709,0.216666666,0.241935483,0.3,4,0,13,0.541935483,5491,519222,73,240,8,29,35,1,0.041666666,0.208333333,0.280701754,0.30962343,0.438596491,7,1,64,0.748219921,73,240,8,29,35,1,0.041666666,0.208333333,0.280701754,0.30962343,0.438596491,7,1,64,0.748219921
"Kevin Pillar",2022,LAD,NYM,33,1.8,9,1029,0,124,347,15,40,47,4,0.031700288,0.233429394,0.23076923,0.27665706,0.415384615,5,3,75,0.692041675,12434,607680,161,645,21,83,88,14,0.027906976,0.137984496,0.258592471,0.286821705,0.432078559,15,5,158,0.718900264,161,645,21,83,88,14,0.027906976,0.137984496,0.258592471,0.286821705,0.432078559,15,5,158,0.718900264
