Name ,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
Kyle Lewis,ARI,16,54,1,2,2,0,0.055555555,0.388888888,0.156862745,0.203703703,0.25490196,0,0,8,0.458605663,Kyle Lewis,19508,641786
Blake Rutherford,WSN,16,36,0,4,2,0,0.027777777,0.277777777,0.171428571,0.194444444,0.171428571,1,0,6,0.365873015,Blake Rutherford,19957,666164
Anthony Kay,- - -,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Kay,20387,641743
Jared Young,CHC,16,47,2,8,8,2,0.063829787,0.276595744,0.186046511,0.255319148,0.465116279,1,0,8,0.720435427,Jared Young,20404,676724
Osvaldo Bido,PIT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Osvaldo Bido,23150,674370
Cody Bolton,PIT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cody Bolton,23265,675989
Gus Varland,- - -,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gus Varland,24737,681402
Penn Murfee,SEA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Penn Murfee,25174,682171
Nick Mears,COL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nick Mears,25376,683232
Sammy Peralta,CHW,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sammy Peralta,25589,671111
Chase Silseth,LAA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chase Silseth,30074,681217
Gavin Williams,CLE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gavin Williams,30122,668909
Corey Kluber,BOS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corey Kluber,2429,446372
Michael Brantley,HOU,15,57,2,7,7,0,0.035087719,0.035087719,0.277777777,0.298245614,0.425925925,2,0,15,0.724171539,Michael Brantley,4106,488726
Casey Lawrence,STL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casey Lawrence,11121,596271
Domingo Tapia,SDP,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Domingo Tapia,12178,593619
Matthew Boyd,DET,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew Boyd,15440,571510
John Curtiss,NYM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Curtiss,16128,595928
Forrest Wall,ATL,15,15,1,6,2,5,0.133333333,0.266666666,0.461538461,0.533333333,0.846153846,0,1,6,1.379487179,Forrest Wall,16496,657088
Garrett Cleavinger,TBR,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garrett Cleavinger,17897,664076
