Team,Season,Age,W,L,ERA,WHIP,G,GS,QS,SV,BS,HLD,IP,SO,K/9,BB/9,HR/9,GB%,LD%,FB%,FBv,NameASCII,PlayerId,MLBAMID
SEA,2023,36,0,1,2.000000212,1.444444598,2,2,0,0,0,0,9,3,3.000000318,6.000000636,1.000000106,0.322580645,0.193548387,0.483870967,86.72131148,Tommy Milone,7608,543548
STL,2023,41,5,11,7.396040163,1.900990243,21,21,4,0,0,0,101,55,4.900990469,3.653465623,1.782178352,0.401041666,0.223958333,0.375,86.58707124,Adam Wainwright,2233,425794
SDP,2023,25,0,0,0,0.333333439,3,0,0,0,0,0,3,5,15.00000477,3.000000954,0,0.75,0,0.25,86.08695652,Alek Jacob,29628,689690
TOR,2023,32,0,2,7.403227401,1.54838743,22,0,0,1,1,1,20.2,12,5.225807577,3.048387753,2.612903788,0.478873239,0.225352112,0.295774647,85.25095057,Adam Cimber,15288,643256
NYY,2023,37,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.666666666,84.18181818,Josh Donaldson,5038,518626
SFG,2023,32,4,5,3.040540854,1.148648767,68,0,0,2,6,30,74,60,7.29729805,2.310811049,0.851351439,0.504504504,0.171171171,0.324324324,82.8626087,Tyler Rogers,15541,643511
SFG,2023,36,0,0,0,2,1,0,0,0,0,0,1,0,0,9,0,0.25,0,0.75,81.85,Brandon Crawford,5343,543063
TEX,2023,34,0,0,18,1,1,0,0,0,0,0,1,0,0,0,9,0,0,1,80.38888889,Sandy Leon,5273,506702
DET,2023,28,0,0,18,3,1,0,0,0,0,0,1,0,0,0,9,0.5,0.166666666,0.333333333,80.09090909,Zach McKinstry,19392,656716
TEX,2023,33,0,0,13.5,2,1,0,0,0,0,0,2,0,0,9,4.5,0.428571428,0.142857142,0.428571428,77.05128205,Brad Miller,12775,543543
KCR,2023,32,0,0,4.5,1.5,2,0,0,0,0,0,2,0,0,0,4.5,0.111111111,0.222222222,0.666666666,76.44827586,Matt Duffy,13836,622110
WSN,2023,27,0,0,27,3,1,0,0,0,0,0,1,1,9,0,9,0.4,0.2,0.4,76.19047619,Lane Thomas,16939,657041
STL,2023,24,0,0,21.60000824,4.800001831,2,0,0,0,0,0,1.2,1,5.40000206,0,5.40000206,0.333333333,0.333333333,0.333333333,76.04444444,Alec Burleson,27615,676475
TOR,2023,27,0,0,9,3,1,0,0,0,0,0,1,0,0,0,0,0.666666666,0.166666666,0.166666666,74.73333333,Ernie Clement,20352,676391
DET,2023,31,0,0,0,0.750000179,1,0,0,0,0,0,1.1,1,6.750001609,0,0,0.25,0.25,0.5,73.94117647,Jonathan Schoop,11265,570731
NYY,2023,28,0,0,2.25,1,4,0,0,0,0,0,4,1,2.25,0,0,0.2,0.133333333,0.666666666,71.25490196,Isiah Kiner-Falefa,16512,643396
NYM,2023,28,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.25,0.75,68.14285714,Luis Guillorme,16451,641645
SFG,2023,26,0,0,0,1,1,0,0,0,0,0,1,0,0,9,0,0.5,0,0.5,67.125,David Villar,24782,681584
SFG,2023,24,0,0,9,1,1,0,0,0,0,0,1,0,0,0,9,0.25,0.25,0.5,66.90909091,Brett Wisely,27735,689172
HOU,2023,27,0,0,9,2,1,0,0,0,0,0,1,0,0,9,9,0.333333333,0,0.666666666,66.72727273,Bligh Madris,20054,676632
CIN,2023,32,0,0,16.61538583,2.769230972,4,0,0,0,0,0,4.1,0,0,0,8.307692917,0.08,0.28,0.64,66.3875,Luke Maile,13355,571912
SEA,2023,30,0,0,18,3,2,0,0,0,0,0,2,0,0,4.5,9,0.272727272,0.09090909,0.636363636,64.69047619,Mike Ford,15585,645801
MIL,2023,29,0,0,3.857143383,0.857142974,3,0,0,0,0,0,2.1,0,0,3.857143383,3.857143383,0.5,0,0.5,64.66666667,Mike Brosseau,19683,670712
LAD,2023,25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.25,0.25,0.5,63.8,Yonny Hernandez,19432,660634
OAK,2023,32,0,0,10.80000412,3.600001373,2,0,0,0,0,0,1.2,0,0,10.80000412,5.40000206,0.125,0.375,0.5,63.73809524,Carlos Perez,10642,542208
CHW,2023,30,0,0,21.60000824,4.200001602,2,0,0,0,0,0,1.2,1,5.40000206,5.40000206,5.40000206,0.3,0.3,0.4,63.24242424,Hanser Alberto,11902,593643
DET,2023,28,0,0,6,2.166666667,6,0,0,0,0,0,6,1,1.5,1.5,0,0.206896551,0.413793103,0.379310344,62.55,Zack Short,19562,670097
COL,2023,27,0,0,13.5,2,2,0,0,0,0,0,2,1,4.5,0,9,0.222222222,0,0.777777777,61.44444444,Alan Trejo,20056,676701
MIA,2023,33,0,0,4.5,1.5,7,0,0,0,0,0,8,1,1.125,0,1.125,0.333333333,0.181818181,0.484848484,61.07608696,Jacob Stallings,13723,607732
TBR,2023,26,0,0,45,5,1,0,0,0,0,0,1,0,0,0,27,0,0.125,0.875,60.84615385,Rene Pinto,19859,650907
ARI,2023,29,0,0,18,3.5,2,0,0,0,0,0,2,1,4.5,4.5,0,0.181818181,0.454545454,0.363636363,60.75,Josh Rojas,19734,668942
COL,2023,29,0,0,9,2.5,2,0,0,0,0,0,2,0,0,4.5,0,0.444444444,0.111111111,0.444444444,60.48275862,Harold Castro,14691,605612
ATL,2023,28,0,0,7.714286765,2.571428922,2,0,0,0,0,0,2.1,0,0,7.714286765,3.857143383,0.363636363,0.09090909,0.545454545,60.35714286,Nicky Lopez,19339,670032
NYM,2023,29,0,0,36.00001717,4.500002146,2,0,0,0,0,0,2,0,0,0,9.000004292,0.066666666,0.333333333,0.6,60.31578947,Danny Mendick,18889,664901
CIN,2023,29,0,0,4.5,2.5,2,0,0,0,0,0,2,0,0,0,0,0.363636363,0.09090909,0.545454545,59.6,Jason Vosler,16686,613564
- - -,2023,28,0,0,10.12500264,3.750000978,3,0,0,0,0,0,2.2,1,3.37500088,3.37500088,3.37500088,0.4375,0.3125,0.25,59.25,Carson Kelly,13620,608348
BAL,2023,28,0,0,0,2,1,0,0,0,0,0,1,1,9,9,0,0,0,1,58.94444444,Josh Lester,17737,623507
