Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
"Walker Buehler","LAD",30,66,1,5,2,0,0.06060606,0.5,0.084745762,0.142857142,0.13559322,0,0,5,0.278450362,"Walker Buehler",19374,621111
"Clayton Kershaw","LAD",29,65,0,1,1,0,0.015384615,0.246153846,0.102040816,0.12,0.122448979,0,0,5,0.242448979,"Clayton Kershaw",2036,477132
"Max Scherzer","WSN",29,61,0,6,2,2,0,0.44262295,0.181818181,0.181818181,0.181818181,1,0,10,0.363636362,"Max Scherzer",3137,453286
"Rajai Davis","NYM",29,26,1,4,8,0,0.038461538,0.192307692,0.2,0.23076923,0.4,0,1,5,0.63076923,"Rajai Davis",3708,434658
"Tim Federowicz","TEX",29,83,4,6,7,1,0.060240963,0.373493975,0.16,0.2125,0.346666666,1,0,12,0.559166666,"Tim Federowicz",8609,543148
"Logan Morrison","PHI",29,38,2,5,3,0,0.078947368,0.263157894,0.2,0.263157894,0.4,1,0,7,0.663157894,"Logan Morrison",9205,489149
"Steve Pearce","BOS",29,99,1,9,9,0,0.07070707,0.313131313,0.17977528,0.244897959,0.258426966,5,0,16,0.503324925,"Steve Pearce",9957,456665
"Brad Boxberger","KCR",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brad Boxberger",10133,502202
"Rangel Ravelo","STL",29,43,2,4,7,0,0.069767441,0.279069767,0.205128205,0.255813953,0.41025641,1,0,8,0.666070363,"Rangel Ravelo",10839,592660
"James Paxton","NYY",29,8,0,0,1,0,0,0.625,0,0,0,0,0,0,0,"James Paxton",11828,572020
"Aaron Brooks","- - -",29,4,0,0,0,0,0,0.25,0,0,0,0,0,0,0,"Aaron Brooks",12272,605156
"Jace Peterson","BAL",29,108,2,14,11,4,0.055555555,0.222222222,0.22,0.268518518,0.33,1,1,22,0.598518518,"Jace Peterson",12325,607054
"Michael Wacha","STL",29,39,0,3,3,0,0,0.538461538,0.166666666,0.166666666,0.194444444,0,0,6,0.36111111,"Michael Wacha",14078,608379
"Dereck Rodríguez","SFG",29,29,0,1,0,0,0,0.586206896,0.172413793,0.172413793,0.172413793,0,0,5,0.344827586,"Dereck Rodriguez",14509,605446
"Germán Márquez","COL",29,58,0,5,11,0,0,0.24137931,0.229166666,0.229166666,0.354166666,1,0,11,0.583333332,"German Marquez",15038,608566
"Jimmy Yacabonis","BAL",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jimmy Yacabonis",15157,642231
"Lucas Giolito","CHW",29,4,0,0,2,0,0,0.75,0.25,0.25,0.25,0,0,1,0.5,"Lucas Giolito",15474,608337
"Zack Littell","MIN",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zack Littell",15823,641793
"Michael Soroka","ATL",29,63,0,2,3,0,0.031746031,0.349206349,0.076923076,0.142857142,0.076923076,1,0,4,0.219780218,"Michael Soroka",18383,647336
"Geoff Hartlieb","PIT",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Geoff Hartlieb",19558,664129
"Jordan Hicks","STL",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jordan Hicks",19618,663855
"Darwinzon Hernández","BOS",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Darwinzon Hernandez",19848,650382
"Joe Smith","HOU",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Joe Smith",3281,501925
"Yangervis Solarte","SFG",28,78,1,9,7,0,0.051282051,0.205128205,0.205479452,0.246753246,0.315068493,4,0,15,0.561821739,"Yangervis Solarte",5352,500208
"Corban Joseph","- - -",28,68,1,5,7,0,0.044117647,0.176470588,0.15625,0.19117647,0.25,2,0,10,0.44117647,"Corban Joseph",5503,543377
"Jay Jackson","MIL",28,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"Jay Jackson",7432,543351
"Jordan Lyles","- - -",28,48,0,3,4,0,0.020833333,0.583333333,0.088888888,0.127659574,0.088888888,1,0,4,0.216548462,"Jordan Lyles",7593,543475
"Hunter Strickland","- - -",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hunter Strickland",7836,519326
"Buddy Boshers","TOR",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Buddy Boshers",8490,542953
"Zac Rosscup","- - -",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zac Rosscup",9419,573127
"Mike Dunn","COL",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mike Dunn",9948,445197
"Scott Alexander","LAD",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scott Alexander",10591,518397
"Tyler Saladino","MIL",28,71,2,7,8,2,0.070422535,0.366197183,0.123076923,0.197183098,0.215384615,1,0,8,0.412567713,"Tyler Saladino",10807,573135
"Adrián Sanchez","WSN",28,32,0,3,1,0,0.03125,0.3125,0.225806451,0.25,0.225806451,0,0,7,0.475806451,"Adrian Sanchez",11338,506703
"Chris Bassitt","OAK",28,5,0,0,0,0,0,0.4,0,0,0,0,0,0,0,"Chris Bassitt",12304,605135
"DJ Johnson","COL",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DJ Johnson",12578,597113
"Joe Ross","WSN",28,20,0,1,0,0,0.05,0.5,0.105263157,0.15,0.105263157,0,0,2,0.255263157,"Joe Ross",12972,605452
"Yu Chang","CLE",28,84,1,8,6,0,0.13095238,0.261904761,0.178082191,0.285714285,0.273972602,4,0,13,0.559686887,"Yu Chang",14773,644374
"Yency Almonte","COL",28,5,0,0,0,0,0,0.6,0,0,0,0,0,0,0,"Yency Almonte",15068,622075
