Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,IP
Sebastián Rivero,11/13/2023,Atlanta Braves,CHW,25,-0.4,2,,,
Trevor Kelley,2/24/2024,Seattle Mariners,TBR,31,-0.5,4,1,0,50.2
Tommy Romero,1/25/2024,San Francisco Giants,WSN,26,-0.5,1,,,
Jonathan Davis,1/2/2024,Miami Marlins,MIA,32,-0.5,6,205,388,
Daniel Camarena,12/29/2023,San Diego Padres,SDP,31,-0.5,2,,,
Chad Smith,12/22/2023,New York Mets,OAK,29,-0.5,2,0,0,31.2
Bryce Johnson,12/21/2023,San Diego Padres,SFG,28,-0.5,2,41,61,
Tayler Scott,12/12/2023,Houston Astros,OAK,32,-0.5,3,3,0,46
Sam Long,12/10/2023,Kansas City Royals,OAK,28,-0.5,3,11,10,128
Anthony Bemboom,12/8/2023,Detroit Tigers,BAL,34,-0.5,5,82,192,
Chuckie Robinson,12/7/2023,Chicago White Sox,CIN,29,-0.5,1,,,
Garrett Hill,11/21/2023,Detroit Tigers,DET,28,-0.5,2,0,0,76
Hoy Park,11/20/2023,Oakland Athletics,ATL,28,-0.5,2,,,
Reiver Sanmartin,11/19/2023,Cincinnati Reds,CIN,28,-0.5,3,3,8,82.2
Alejo López,10/7/2023,Atlanta Braves,CIN,28,-0.5,3,74,170,
Tim Locastro,2/28/2024,San Diego Padres,NYM,31,-0.6,7,290,531,
Kirby Snead,2/7/2024,Seattle Mariners,OAK,29,-0.6,3,1,0,64
Andrew Suárez,1/30/2024,Baltimore Orioles,STL,31,-0.6,4,46,50,230.1
Michael Papierski,1/22/2024,Seattle Mariners,DET,28,-0.6,1,,,
Yolmer Sanchez,1/15/2024,New York Mets,ATL,32,-0.6,9,,,
Michael Pérez,12/30/2023,Baltimore Orioles,NYM,31,-0.6,6,202,543,
Billy McKinney,12/15/2023,Pittsburgh Pirates,NYY,29,-0.6,6,311,818,
Edwin Uceta,12/12/2023,Tampa Bay Rays,CHC,26,-0.6,3,14,5,40.1
Chris Devenski,12/5/2023,Tampa Bay Rays,TBR,33,-0.6,8,25,1,373.1
Matt Andriese,11/29/2023,Miami Marlins,LAD,34,-0.6,7,75,9,509
Ben Bowden,11/24/2023,Atlanta Braves,PHI,29,-0.6,2,,,
Tyler Wade,11/3/2023,San Diego Padres,OAK,29,-0.6,7,357,631,
Cam Gallagher,2/25/2024,Philadelphia Phillies,CLE,31,-0.7,7,227,563,
Joely Rodríguez,2/23/2024,Boston Red Sox,BOS,32,-0.7,6,46,0,157
Lucius Fox,2/8/2024,Chicago White Sox,WSN,26,-0.7,1,,,
Beau Burrows,1/31/2024,Minnesota Twins,ATL,27,-0.7,3,,,
Elieser Hernández,1/12/2024,Los Angeles Dodgers,NYM,29,-0.7,5,,,
José Ureña,1/10/2024,Texas Rangers,CHW,32,-0.7,9,134,146,839.1
Tyson Miller,11/2/2023,Seattle Mariners,LAD,28,-0.7,3,0,0,31
Skye Bolt,2/23/2024,Atlanta Braves,MIL,30,-0.8,4,,,
Jason Alexander,2/20/2024,Boston Red Sox,MIL,31,-0.8,1,,,
Chad Wallach,2/9/2024,Los Angeles Angels,LAA,32,-0.8,7,155,400,
Cory Abbott,2/7/2024,Seattle Mariners,WSN,28,-0.8,3,8,3,104.2
Logan Allen,12/23/2023,Arizona Diamondbacks,SEA,27,-0.8,4,8,5,96.1
Jonathan Araúz,12/15/2023,Los Angeles Dodgers,NYM,25,-0.8,4,95,234,
José Marte,12/4/2023,Los Angeles Angels,LAA,28,-0.8,3,0,0,24.1
Paul Fry,2/23/2024,San Diego Padres,TOR,31,-0.9,5,,,
Jacob Barnes,2/16/2024,Washington Nationals,STL,34,-0.9,8,173,0,262.2
Casey Lawrence,2/7/2024,Seattle Mariners,STL,36,-0.9,4,4,2,124
Danny Mendick,2/5/2024,Chicago White Sox,NYM,30,-0.9,5,184,472,3
Dom Nuñez,1/30/2024,Cleveland Guardians,PIT,29,-0.9,4,,,
David Dahl,2/19/2024,Philadelphia Phillies,LAD,30,-1,6,331,1152,
Carlos Carrasco,2/1/2024,Cleveland Guardians,NYM,37,-1,14,22,31,1538
Richie Martin,1/8/2024,Los Angeles Angels,WSN,29,-1,4,,,
Tim Hill,12/28/2023,Chicago White Sox,SDP,34,-1,6,82,2,255.1
Jason Vosler,3/9/2024,Seattle Mariners,CIN,30,-1.1,3,97,233,2
Spenser Watkins,12/21/2023,Washington Nationals,OAK,31,-1.1,3,0,0,164.1
Josh VanMeter,1/16/2024,New York Yankees,MIL,29,-1.2,4,,,
Zach Logue,12/8/2023,Atlanta Braves,DET,28,-1.3,2,0,0,68
Wander Suero,12/7/2023,Houston Astros,LAD,32,-1.3,5,156,5,193.1
Bligh Madris,11/13/2023,Detroit Tigers,HOU,28,-1.3,2,51,139,1
Brad Miller,3/6/2024,San Diego Padres,TEX,34,-1.4,11,1055,3132,2
T.J. Zeuch,2/15/2024,Washington Nationals,PHI,28,-1.4,4,,,
Cole Tucker,2/6/2024,Seattle Mariners,COL,27,-1.4,5,159,444,
Austin Hedges,12/15/2023,Cleveland Guardians,TEX,31,-1.4,9,686,1997,3.2
Kolby Allard,1/23/2024,Philadelphia Phillies,ATL,26,-1.5,6,5,5,245
Nick Senzel,12/12/2023,Washington Nationals,CIN,29,-1.5,5,377,1230,
Zach Davies,2/17/2024,Washington Nationals,ARI,31,-1.6,9,143,215,1048.1
Andrew Knapp,12/27/2023,Texas Rangers,HOU,32,-1.6,6,,,
Brett de Geus,12/3/2023,Seattle Mariners,KCR,26,-1.6,1,30,0,50
Mike Moustakas,2/14/2024,Chicago White Sox,LAA,35,-1.9,13,1427,5060,
Sandy León,1/17/2024,Kansas City Royals,CLE,35,-1.9,12,554,1549,9
Josh Fleming,2/14/2024,Pittsburgh Pirates,PHI,28,-2,4,1,1,223.1
Adam Oller,11/14/2023,Cleveland Guardians,SEA,29,-2,2,0,0,94
Shintaro Fujinami,2/14/2024,New York Mets,BAL,30,-2.1,1,1,0,79
Yoshi Tsutsugo,12/26/2023,San Francisco Giants,SFG,32,-2.3,3,,,
Dustin Peterson,2/28/2024,Pittsburgh Pirates,PHI,29,,5,,,
Jonathan Holder,2/1/2024,Texas Rangers,LAA,31,,7,,,
Braden Shipley,1/14/2024,Texas Rangers,SEA,32,,7,,,
Chance Adams,12/21/2023,Colorado Rockies,COL,29,,5,,,
Joe Hudson,12/14/2023,Chicago Cubs,ATL,33,,5,,,
Wei-Chieh Huang,12/13/2023,Pittsburgh Pirates,PIT,30,,4,,,
Brailyn Márquez,12/3/2023,Houston Astros,CHC,25,,3,,,
Wilking Rodríguez,11/20/2023,St. Louis Cardinals,STL,34,,9,,,
Rangel Ravelo,11/16/2023,Seattle Mariners,SDP,32,,4,,,
